id_departamento,departamento,id_municipio,municipio,id_localidad,localidad,anio_servicio,mes_servicio,energia_activa,energia_reactiva,potencia_maxima,dia_demanda_max,fecha_demanda_max,promedio_horas,municipio_original
27,chocó,27077,bajo baudó,27077911,playa nueva(bajo baudó - chocó),2025,5,3024,1289,16.9,martes,2025-05-06 12:30:00,7.3306,bajo baudó
27,chocó,27077,bajo baudó,27077916,terron(bajo baudó - chocó),2025,5,0,0,,,,0.0,bajo baudó
27,chocó,27099,bojayá,27099000,bellavista(bojayá - chocó),2025,5,116499,43015,344.66,jueves,2025-05-15 02:15:00,14.1048,bojayá
27,chocó,27099,bojayá,27099002,la loma de bojaya(bojayá - chocó),2025,5,13223,5825,73.52,domingo,2025-05-11 19:00:00,8.379,bojayá
27,chocó,27099,bojayá,27099005,napipi(bojayá - chocó),2025,5,9294,3161,57.6,viernes,2025-05-23 17:30:00,6.4435,bojayá
27,chocó,27099,bojayá,27099012,pogue(bojayá - chocó),2025,5,5257,2597,25.24,lunes,2025-05-12 13:15:00,9.7661,bojayá
27,chocó,27099,bojayá,27099030,piedra candela(bojayá - chocó),2025,5,7813,3582,34.34,miércoles,2025-05-07 14:45:00,9.2177,bojayá
27,chocó,27099,bojayá,27099905,chano(bojayá - chocó),2025,5,313,17,6.91,sábado,2025-05-24 19:45:00,2.0242,bojayá
27,chocó,27250,el litoral del san juan,27250000,santa genoveva de docordo(el litoral del san juan - chocó),2025,5,29761,14301,250.8,sábado,2025-05-10 11:30:00,5.129,el litoral del san juan
27,chocó,27250,el litoral del san juan,27250023,papayo(el litoral del san juan - chocó),2025,5,0,0,,,,0.0,el litoral del san juan
27,chocó,27361,istmina,27361023,potedó(istmina - chocó),2025,5,2685,1395,15.56,martes,2025-05-06 18:45:00,7.5806,istmina
27,chocó,27361,istmina,27361048,union choco(istmina - chocó),2025,5,958,177,7.44,jueves,2025-05-29 18:30:00,7.9435,istmina
27,chocó,27372,juradó,27372000,jurado(jurado - chocó),2025,5,204346,66289,363.36,lunes,2025-05-12 18:45:00,23.9677,jurado
27,chocó,27372,juradó,27372901,santa teresita(jurado - chocó),2025,5,2326,88,15.82,jueves,2025-05-01 11:15:00,15.0242,jurado
